0.24063  	0.12199  	-0.1498  	0.03232  	0.08755  	0.05888  	0.30596  	0.29874  	0.24821  	0.14782  	-0.3160  	0.81020  	0.18101  	0.20953  	-0.6618  	0.22735  	0.37382  	0.06572  	0.45283  	0.07337  	0.14762  	0.50173  	0.23065  	-0.0525  	0.22644  	0.08304  	0.41415  	-0.4668  	-0.3398  	0.00581  	-0.0144  	0.08687  	0.15140  	-0.1476  	0.11734  	-0.0812  	0.18496  	0.01650  	-0.1422  	-0.1199  	0.07643  	0.06021  	0.01872  	0.28684  	0.07348  	-0.0477  	-0.0380  	0.09365  	0.07807  	-0.1521  	-0.0858  	-0.0207  	-0.0099  	0.00213  	-0.0169  	0.01492  	-0.0382  	0.00193  	0.01309  	-0.0159  	-0.0129  	0.01978  	0.03547  	0.01514  	0.08188  	0.07927  	-0.0295  	-0.0048  	0.03733  	0.58963  	1.08884  	126.320  	105.636  	
0.27064  	0.15586  	-0.1809  	0.06893  	0.12385  	0.09884  	0.28529  	0.30233  	0.25428  	0.11970  	-0.2985  	0.88648  	0.16425  	0.19651  	-0.6363  	0.26303  	0.37038  	0.06486  	0.45488  	0.04598  	0.13849  	0.49538  	0.24113  	-0.0598  	0.16572  	0.08856  	0.39542  	-0.4899  	-0.3819  	0.00100  	-0.0128  	0.08298  	0.16494  	-0.1429  	0.13402  	-0.0995  	0.18927  	0.02481  	-0.1595  	-0.1171  	0.05503  	0.05549  	0.01418  	0.28146  	0.06998  	-0.0434  	-0.0377  	0.08854  	0.07529  	-0.1570  	-0.0880  	-0.0232  	-0.0100  	-0.0001  	-0.0181  	0.01908  	-0.0377  	0.00423  	0.00721  	-0.0203  	-0.0129  	0.02490  	0.03411  	0.01682  	0.08366  	0.08183  	-0.0280  	-0.0058  	0.03736  	0.59850  	1.08884  	126.320  	105.636  	
0.26833  	0.15784  	-0.1331  	0.06749  	0.11249  	0.12381  	0.29167  	0.33726  	0.27120  	0.09739  	-0.2466  	0.92782  	0.15058  	0.20737  	-0.6366  	0.30570  	0.37861  	0.08229  	0.45780  	0.06260  	0.18406  	0.48900  	0.25536  	-0.0622  	0.14051  	0.09297  	0.37190  	-0.4838  	-0.4025  	-0.0186  	-0.0107  	0.08058  	0.18569  	-0.1388  	0.13172  	-0.1027  	0.20498  	0.03863  	-0.1619  	-0.1263  	0.06072  	0.05166  	0.01833  	0.27499  	0.07013  	-0.0409  	-0.0355  	0.08669  	0.06875  	-0.1536  	-0.0903  	-0.0218  	-0.0101  	0.00030  	-0.0189  	0.01469  	-0.0361  	0.00769  	0.00516  	-0.0201  	-0.0166  	0.02314  	0.03639  	0.01734  	0.08545  	0.08373  	-0.0270  	-0.0067  	0.03721  	0.60569  	1.08884  	126.320  	105.636  	
0.25651  	0.16539  	-0.1079  	0.06164  	0.08212  	0.14167  	0.30831  	0.34251  	0.26541  	0.09189  	-0.2098  	0.91068  	0.13835  	0.21568  	-0.6341  	0.30957  	0.36350  	0.07859  	0.46109  	0.07309  	0.21008  	0.49541  	0.23817  	-0.0688  	0.13487  	0.09018  	0.35791  	-0.4887  	-0.4079  	-0.0262  	-0.0159  	0.08657  	0.19157  	-0.1383  	0.13420  	-0.0974  	0.22612  	0.04866  	-0.1677  	-0.1304  	0.08541  	0.05226  	0.01651  	0.27521  	0.07327  	-0.0434  	-0.0316  	0.08747  	0.06736  	-0.1503  	-0.0903  	-0.0213  	-0.0066  	0.00430  	-0.0193  	0.01402  	-0.0373  	0.00802  	0.00561  	-0.0153  	-0.0169  	0.02093  	0.03536  	0.01576  	0.08727  	0.08497  	-0.0265  	-0.0075  	0.03689  	0.61119  	1.08884  	126.320  	105.636  	
0.26630  	0.16104  	-0.1043  	0.05583  	0.06608  	0.11605  	0.30106  	0.34909  	0.28763  	0.09122  	-0.1905  	0.92841  	0.14279  	0.20887  	-0.6652  	0.32934  	0.36305  	0.09114  	0.46090  	0.06631  	0.20644  	0.48602  	0.24870  	-0.0699  	0.11748  	0.08972  	0.35231  	-0.4769  	-0.4118  	-0.0194  	-0.0116  	0.08407  	0.19736  	-0.1381  	0.14043  	-0.1068  	0.22364  	0.04844  	-0.1688  	-0.1339  	0.08124  	0.04818  	0.01673  	0.27002  	0.07338  	-0.0449  	-0.0335  	0.08408  	0.06671  	-0.1511  	-0.0894  	-0.0215  	-0.0065  	0.00298  	-0.0194  	0.01609  	-0.0390  	0.00773  	0.00809  	-0.0146  	-0.0165  	0.02051  	0.03578  	0.01626  	0.08912  	0.08554  	-0.0265  	-0.0082  	0.03639  	0.61502  	1.08884  	126.320  	105.636  	
0.26578  	0.15747  	-0.1057  	0.05977  	0.08182  	0.10757  	0.29310  	0.35435  	0.29013  	0.10390  	-0.1927  	0.94299  	0.14504  	0.20134  	-0.6745  	0.32903  	0.36729  	0.09781  	0.45632  	0.07392  	0.18135  	0.47708  	0.25186  	-0.0821  	0.10292  	0.09335  	0.33891  	-0.4557  	-0.4004  	-0.0162  	-0.0108  	0.08406  	0.20193  	-0.1364  	0.13152  	-0.1051  	0.21214  	0.04984  	-0.1614  	-0.1344  	0.07975  	0.04502  	0.01913  	0.27133  	0.07202  	-0.0439  	-0.0334  	0.08415  	0.06583  	-0.1542  	-0.0902  	-0.0207  	-0.0071  	0.00210  	-0.0182  	0.01449  	-0.0391  	0.00680  	0.00928  	-0.0151  	-0.0156  	0.02040  	0.03470  	0.01644  	0.09098  	0.08545  	-0.0269  	-0.0088  	0.03571  	0.61716  	1.08884  	126.320  	105.636  	
0.25749  	0.16170  	-0.1311  	0.04405  	0.08201  	0.11132  	0.28842  	0.34803  	0.28822  	0.09510  	-0.1909  	0.92972  	0.13423  	0.17256  	-0.6635  	0.31262  	0.37959  	0.08407  	0.45472  	0.06837  	0.18695  	0.47540  	0.26078  	-0.0721  	0.08780  	0.09647  	0.35498  	-0.4778  	-0.4306  	-0.0254  	-0.0103  	0.08663  	0.19985  	-0.1404  	0.14119  	-0.1107  	0.22343  	0.05634  	-0.1669  	-0.1412  	0.07356  	0.04602  	0.01730  	0.27099  	0.06923  	-0.0413  	-0.0337  	0.07719  	0.06521  	-0.1545  	-0.0887  	-0.0209  	-0.0074  	0.00158  	-0.0185  	0.01423  	-0.0373  	0.00738  	0.01068  	-0.0162  	-0.0161  	0.01925  	0.03322  	0.01715  	0.09287  	0.08470  	-0.0278  	-0.0093  	0.03485  	0.61762  	1.08884  	126.320  	105.636  	
0.26614  	0.16904  	-0.1356  	0.05094  	0.08087  	0.12176  	0.29348  	0.34704  	0.29261  	0.09021  	-0.1901  	0.92450  	0.13377  	0.16822  	-0.6604  	0.31953  	0.38243  	0.07505  	0.45345  	0.07096  	0.20303  	0.47963  	0.26683  	-0.0628  	0.08787  	0.10113  	0.35649  	-0.4785  	-0.4388  	-0.0288  	-0.0091  	0.08343  	0.20219  	-0.1405  	0.13970  	-0.1100  	0.22482  	0.05357  	-0.1730  	-0.1397  	0.06998  	0.04787  	0.01537  	0.27301  	0.07190  	-0.0432  	-0.0324  	0.07562  	0.06464  	-0.1541  	-0.0890  	-0.0208  	-0.0076  	0.00073  	-0.0172  	0.01274  	-0.0365  	0.00740  	0.00976  	-0.0180  	-0.0153  	0.01964  	0.03346  	0.01700  	0.09547  	0.08236  	-0.0299  	-0.0089  	0.03279  	0.60813  	1.08884  	126.320  	105.636  	
0.23342  	0.16215  	-0.1502  	0.02232  	0.09691  	0.08353  	0.31853  	0.31403  	0.27330  	0.12695  	-0.1923  	0.92793  	0.14177  	0.16505  	-0.7128  	0.30480  	0.35114  	0.11806  	0.45272  	0.12235  	0.14048  	0.46371  	0.22082  	-0.0911  	0.12831  	0.10416  	0.30401  	-0.3921  	-0.3431  	-0.0236  	-0.0020  	0.06707  	0.21735  	-0.1365  	0.10750  	-0.0721  	0.17232  	0.03646  	-0.1441  	-0.1193  	0.09533  	0.04518  	0.02757  	0.27248  	0.06924  	-0.0443  	-0.0314  	0.08207  	0.06077  	-0.1588  	-0.0877  	-0.0208  	-0.0103  	-0.0029  	-0.0162  	0.00899  	-0.0320  	0.00347  	0.00728  	-0.0201  	-0.0170  	0.01643  	0.03630  	0.01457  	0.09673  	0.07981  	-0.0321  	-0.0091  	0.03175  	0.59842  	1.08884  	126.320  	105.636  	
0.26842  	0.12622  	-0.1622  	0.01466  	0.06118  	0.00520  	0.28642  	0.27615  	0.26849  	0.13571  	-0.2222  	0.84478  	0.15145  	0.15637  	-0.6828  	0.28679  	0.36986  	0.07842  	0.44821  	0.07546  	0.15756  	0.48014  	0.22077  	-0.0267  	0.20485  	0.07974  	0.36877  	-0.4910  	-0.3864  	-0.0070  	0.00207  	0.08599  	0.17224  	-0.1496  	0.14415  	-0.0822  	0.20851  	0.02318  	-0.1766  	-0.1109  	0.06651  	0.06032  	0.00926  	0.26847  	0.06943  	-0.0491  	-0.0362  	0.07591  	0.07170  	-0.1512  	-0.0876  	-0.0226  	-0.0085  	-0.0012  	-0.0231  	0.01306  	-0.0359  	0.00264  	0.01265  	-0.0178  	-0.0168  	0.01932  	0.03331  	0.01504  	0.09849  	0.07672  	-0.0346  	-0.0095  	0.03098  	0.59597  	1.08884  	126.320  	105.636  	
