0.09815  	0.15973  	-0.0687  	0.08951  	-0.0325  	0.30436  	0.24083  	0.19002  	0.28271  	0.14752  	-0.2643  	0.88651  	0.25315  	0.00556  	-0.8578  	0.39393  	0.52240  	-0.0301  	0.44851  	0.00875  	0.14063  	0.56424  	0.43075  	-0.0502  	0.01848  	0.02765  	0.40147  	-0.7107  	-0.5870  	-0.0008  	-0.0332  	0.03047  	0.19028  	-0.2320  	0.19256  	-0.0619  	0.37938  	0.07489  	-0.3421  	-0.1490  	0.12259  	0.04198  	0.04242  	0.26409  	0.01359  	-0.0186  	-0.0518  	0.12675  	0.10085  	-0.1383  	-0.0716  	-0.0223  	-0.0097  	0.00178  	-0.0276  	0.01807  	-0.0310  	0.01487  	0.01066  	-0.0224  	-0.0227  	0.01994  	0.04424  	0.01730  	0.07088  	0.08413  	-0.0704  	0.00628  	0.03325  	0.46010  	
0.08618  	0.15548  	-0.0685  	0.09865  	-0.0153  	0.29617  	0.24403  	0.17422  	0.28926  	0.18266  	-0.2762  	0.91027  	0.25225  	-0.0069  	-0.8971  	0.40242  	0.52780  	-0.0026  	0.44653  	0.04828  	0.09566  	0.55353  	0.40787  	-0.0878  	0.02412  	0.04253  	0.35053  	-0.6287  	-0.5318  	-0.0082  	-0.0231  	0.01473  	0.20505  	-0.2292  	0.14253  	-0.0421  	0.33650  	0.05669  	-0.3253  	-0.1438  	0.14055  	0.03042  	0.06040  	0.26860  	0.01868  	-0.0195  	-0.0488  	0.12679  	0.10048  	-0.1365  	-0.0721  	-0.0236  	-0.0102  	-0.0002  	-0.0269  	0.01542  	-0.0308  	0.01421  	0.01275  	-0.0239  	-0.0220  	0.01966  	0.04493  	0.01490  	0.07106  	0.08430  	-0.0682  	0.00746  	0.03088  	0.45196  	
0.10915  	0.12752  	-0.0643  	0.07369  	0.00768  	0.28387  	0.27504  	0.13776  	0.27178  	0.25600  	-0.4057  	0.84138  	0.31456  	0.03926  	-0.9118  	0.33670  	0.52226  	0.02166  	0.45251  	0.04051  	-0.0251  	0.57164  	0.35740  	-0.1267  	0.10361  	0.03015  	0.35215  	-0.5651  	-0.4308  	0.03243  	-0.0175  	0.01472  	0.19681  	-0.2294  	0.10277  	-0.0012  	0.26221  	0.02656  	-0.2872  	-0.1089  	0.14027  	0.03442  	0.06804  	0.27608  	0.01082  	-0.0213  	-0.0568  	0.14760  	0.11030  	-0.1418  	-0.0633  	-0.0244  	-0.0118  	-0.0029  	-0.0238  	0.01833  	-0.0289  	0.00411  	0.01441  	-0.0184  	-0.0163  	0.01540  	0.04830  	0.01988  	0.07092  	0.08538  	-0.0659  	0.00861  	0.02880  	0.44519  	
-0.1047  	0.12587  	-0.2600  	-0.0072  	0.02665  	0.11203  	0.24403  	0.05184  	0.20932  	0.25580  	-0.3023  	0.89555  	0.25507  	-0.0318  	-0.9787  	0.29396  	0.49158  	0.04130  	0.43055  	0.10327  	-0.0661  	0.53528  	0.35433  	-0.1359  	0.06517  	0.05351  	0.31724  	-0.5000  	-0.4116  	0.01655  	-0.0020  	-0.0220  	0.19085  	-0.2260  	0.12334  	0.00102  	0.26570  	0.00522  	-0.3035  	-0.0841  	0.16046  	0.04382  	0.04692  	0.25395  	0.02025  	-0.0153  	-0.0535  	0.13388  	0.08612  	-0.1330  	-0.0658  	-0.0243  	-0.0192  	-0.0094  	-0.0286  	0.01240  	-0.0215  	0.01306  	0.01566  	-0.0288  	-0.0254  	0.02385  	0.04633  	0.01527  	0.07046  	0.08736  	-0.0636  	0.00974  	0.02700  	0.43979  	
-0.1527  	0.07727  	-0.3009  	-0.0002  	0.00034  	0.08430  	0.22406  	0.02621  	0.17906  	0.24105  	-0.2545  	0.88495  	0.21215  	-0.1314  	-0.9508  	0.29728  	0.51031  	0.03280  	0.39731  	0.12962  	-0.0652  	0.54742  	0.40803  	-0.1159  	0.01695  	0.06561  	0.25491  	-0.5151  	-0.3987  	-0.0004  	-0.0242  	-0.0011  	0.16952  	-0.2297  	0.07758  	0.00116  	0.24025  	0.02483  	-0.2992  	-0.0754  	0.17658  	0.05159  	0.05476  	0.26683  	0.02129  	-0.0176  	-0.0380  	0.12431  	0.08098  	-0.1290  	-0.0773  	-0.0253  	-0.0160  	0.00033  	-0.0194  	0.00927  	-0.0265  	0.01300  	0.01804  	-0.0255  	-0.0214  	0.02552  	0.04134  	0.01779  	0.06968  	0.09026  	-0.0613  	0.01085  	0.02549  	0.43577  	
-0.2045  	0.05907  	-0.3717  	-0.0151  	-0.0317  	0.07659  	0.25011  	0.01015  	0.16232  	0.25928  	-0.2411  	0.84880  	0.22302  	-0.1554  	-0.9995  	0.27793  	0.52475  	0.00741  	0.39862  	0.12271  	-0.1211  	0.57267  	0.40383  	-0.1586  	0.05517  	0.06527  	0.27041  	-0.4897  	-0.3619  	0.01915  	-0.0306  	-0.0206  	0.16856  	-0.2173  	0.03093  	0.04552  	0.22954  	0.02145  	-0.2815  	-0.0914  	0.17733  	0.04549  	0.04493  	0.26965  	0.02088  	-0.0145  	-0.0451  	0.12773  	0.07814  	-0.1311  	-0.0808  	-0.0294  	-0.0135  	0.00096  	-0.0165  	0.00876  	-0.0279  	0.01562  	0.01931  	-0.0252  	-0.0200  	0.02165  	0.04145  	0.02017  	0.06858  	0.09406  	-0.0589  	0.01194  	0.02427  	0.43312  	
-0.3347  	0.01773  	-0.3505  	-0.0558  	-0.0313  	0.03829  	0.23255  	-0.0092  	0.17623  	0.26898  	-0.2303  	0.86526  	0.21954  	-0.1751  	-1.0707  	0.28510  	0.50840  	0.05863  	0.38788  	0.14277  	-0.1246  	0.55235  	0.34972  	-0.1885  	0.01355  	0.07957  	0.19344  	-0.3989  	-0.3544  	-0.0162  	-0.0047  	-0.0369  	0.17581  	-0.2171  	0.02650  	0.05597  	0.17943  	-0.0095  	-0.2833  	-0.0858  	0.19324  	0.04972  	0.03733  	0.26422  	0.01648  	-0.0217  	-0.0454  	0.10397  	0.07889  	-0.1309  	-0.0716  	-0.0298  	-0.0103  	-0.0030  	-0.0166  	0.01096  	-0.0195  	0.01573  	0.02108  	-0.0262  	-0.0207  	0.03124  	0.03946  	0.02296  	0.06716  	0.09876  	-0.0565  	0.01300  	0.02333  	0.43185  	
-0.2009  	0.09086  	-0.2805  	-0.0155  	-0.0488  	0.11315  	0.24305  	0.06307  	0.19336  	0.21858  	-0.1814  	0.86127  	0.23093  	-0.1388  	-1.0172  	0.31226  	0.50828  	0.00293  	0.39393  	0.13190  	-0.0216  	0.53987  	0.37872  	-0.1658  	-0.0145  	0.07781  	0.21588  	-0.4746  	-0.4325  	-0.0256  	-0.0195  	-0.0291  	0.19041  	-0.2143  	0.08480  	-0.0063  	0.26399  	0.01780  	-0.3085  	-0.1147  	0.19045  	0.04172  	0.04456  	0.26532  	0.03225  	-0.0203  	-0.0419  	0.10450  	0.08199  	-0.1280  	-0.0765  	-0.0306  	-0.0105  	-0.0037  	-0.0220  	0.01186  	-0.0258  	0.01428  	0.01085  	-0.0282  	-0.0232  	0.02700  	0.03965  	0.01917  	0.06421  	0.10620  	-0.0544  	0.01507  	0.02237  	0.41873  	
-0.0663  	0.13482  	-0.2272  	0.07022  	-0.0202  	0.14987  	0.23695  	0.12229  	0.22386  	0.20813  	-0.2466  	0.84136  	0.24851  	-0.0873  	-0.9461  	0.34508  	0.51102  	-0.0227  	0.42946  	0.11120  	0.03676  	0.55407  	0.37704  	-0.1090  	0.05161  	0.05479  	0.32958  	-0.5732  	-0.4804  	0.01269  	-0.0466  	0.00752  	0.18157  	-0.2316  	0.14827  	-0.0314  	0.30714  	0.04654  	-0.3227  	-0.1141  	0.13780  	0.04683  	0.03571  	0.27193  	0.03445  	-0.0200  	-0.0460  	0.09956  	0.08975  	-0.1193  	-0.0730  	-0.0265  	-0.0097  	-0.0027  	-0.0243  	0.00733  	-0.0303  	0.01219  	0.00911  	-0.0275  	-0.0269  	0.02166  	0.04062  	0.01285  	0.06021  	0.11362  	-0.0535  	0.01616  	0.02193  	0.42703  	
-0.0063  	0.14354  	-0.1845  	0.10676  	-0.0304  	0.22399  	0.25708  	0.11341  	0.21691  	0.16981  	-0.2941  	0.83813  	0.26569  	-0.0093  	-0.8766  	0.33698  	0.51690  	-0.0232  	0.42977  	0.09484  	0.07908  	0.59748  	0.36054  	-0.0748  	0.07031  	0.05561  	0.37099  	-0.6145  	-0.4908  	0.03429  	-0.0488  	0.02063  	0.18938  	-0.2306  	0.16537  	-0.0226  	0.30610  	0.04590  	-0.3276  	-0.1215  	0.13524  	0.04880  	0.02879  	0.27195  	0.03217  	-0.0203  	-0.0503  	0.11347  	0.09318  	-0.1323  	-0.0697  	-0.0255  	-0.0082  	-0.0023  	-0.0304  	0.01295  	-0.0320  	0.00669  	0.00793  	-0.0260  	-0.0246  	0.01932  	0.03834  	0.00907  	0.05833  	0.12162  	-0.0514  	0.01682  	0.02168  	0.45303  	
